SNID,CID,n_entries,mean_z,min_z,max_z,logMstar,mean_mu_resid,std_mu_resid,mean_H0_proxy,is_calibrator,used_in_shoes_hf,abs_mean_mu_resid,nearby_bonus,priority_score
2010ii,2010ii,1,0.02805,0.02805,0.02805,7.97988,-0.215963598229786,,74.44792817250158,0,1,0.215963598229786,0.0,6.863854392919144
PS16dnp,PS16dnp,1,0.05023,0.05023,0.05023,8.04941,0.2113400962280689,,61.14935455046481,0,1,0.2113400962280689,0.0,6.845360384912276
2009bv,2009bv,1,0.03848,0.03848,0.03848,10.123,0.2066101541931129,,61.28269639553979,0,1,0.2066101541931129,0.0,6.826440616772452
ASASSN-15sf,ASASSN-15sf,1,0.02432,0.02432,0.02432,8.21725,0.2010226945638234,,61.440587191497706,0,1,0.2010226945638234,0.0,6.8040907782552935
PS15bwh,PS15bwh,1,0.07158,0.07158,0.07158,10.6434,-0.1995764855197936,,73.88821817977737,0,1,0.1995764855197936,0.0,6.798305942079175
2008050,2008050,1,0.04625,0.04625,0.04625,9.02736,-0.1978616567959097,,73.82989111041789,0,1,0.1978616567959097,0.0,6.791446627183639
PS16fbb,PS16fbb,1,0.05106,0.05106,0.05106,8.77965,0.1965549352443698,,61.56713005679544,0,1,0.1965549352443698,0.0,6.786219740977479
2007sw,2007sw,1,0.02517,0.02517,0.02517,8.41811,-0.1949547977505563,,73.73112425380987,0,1,0.1949547977505563,0.0,6.779819191002225
ASASSN-15fs,ASASSN-15fs,1,0.02917,0.02917,0.02917,10.0517,-0.1942885585916815,,73.70850594790616,0,1,0.1942885585916815,0.0,6.777154234366726
ASASSN-15pm,ASASSN-15pm,1,0.04837,0.04837,0.04837,10.292,-0.188612258579015,,73.51608111076433,0,1,0.188612258579015,0.0,6.75444903431606
1992bh,1992bh,1,0.0444,0.0444,0.0444,10.1363,0.1810954394331272,,62.0070126600243,0,1,0.1810954394331272,0.0,6.724381757732509
AT2016cvv,AT2016cvv,1,0.04438,0.04438,0.04438,11.4594,0.1780053379677806,,62.095314200418805,0,1,0.1780053379677806,0.0,6.7120213518711225
iPTF17dz,iPTF17dz,1,0.09293,0.09293,0.09293,8.80725,0.1749185113724518,,62.183647705963125,0,1,0.1749185113724518,0.0,6.699674045489807
ASASSN-16oz,ASASSN-16oz,1,0.03192,0.03192,0.03192,8.01111,-0.1742454867114577,,73.03129368904415,0,1,0.1742454867114577,0.0,6.696981946845831
1992bs,1992bs,1,0.06372,0.06372,0.06372,10.5104,0.1672884090319098,,62.40253244115535,0,1,0.1672884090319098,0.0,6.669153636127639
1241,1241,1,0.0887,0.0887,0.0887,9.91509,-0.1630796504849616,,72.65672641818396,0,1,0.1630796504849616,0.0,6.652318601939847
PS16evk,PS16evk,1,0.05262,0.05262,0.05262,9.93232,0.1627712430647374,,62.53247928669183,0,1,0.1627712430647374,0.0,6.65108497225895
13796,13796,1,0.14747,0.14747,0.14747,9.66952,-0.1604374842786402,,72.56837420054987,0,1,0.1604374842786402,0.0,6.641749937114561
PS15asb,PS15asb,1,0.04989,0.04989,0.04989,10.2884,-0.1602797819304715,,72.56310414166784,0,1,0.1602797819304715,0.0,6.641119127721886
1794,1794,1,0.14082,0.14082,0.14082,11.0328,0.1591623262141351,,62.636492652472384,0,1,0.1591623262141351,0.0,6.63664930485654
2007ae,2007ae,1,0.06533,0.06533,0.06533,10.8837,-0.1559620679434434,,72.41896441042692,0,1,0.1559620679434434,0.0,6.623848271773774
PS15bzz,PS15bzz,1,0.07931,0.07931,0.07931,10.4626,-0.1533139068051898,,72.33070162818032,0,1,0.1533139068051898,0.0,6.613255627220759
15234,15234,1,0.13535,0.13535,0.13535,9.98362,0.1527437900838304,,62.82191032172633,0,1,0.1527437900838304,0.0,6.610975160335322
SN2016glp,SN2016glp,1,0.0841,0.0841,0.0841,10.5245,0.1507872804972461,,62.87853874489242,0,1,0.1507872804972461,0.0,6.603149121988984
2009do,2009do,1,0.04099,0.04099,0.04099,10.4649,-0.1506889180322747,,72.24331734257407,0,1,0.1506889180322747,0.0,6.602755672129099
2000cw,2000cw,1,0.02949,0.02949,0.02949,7.0,0.1503039407277225,,62.89253619700319,0,1,0.1503039407277225,0.0,6.60121576291089
2006az,2006az,1,0.03201,0.03201,0.03201,11.1124,-0.1501039511676456,,72.22385853894484,0,1,0.1501039511676456,0.0,6.6004158046705825
2005lz,2005lz,1,0.04643,0.04643,0.04643,11.0342,-0.1454794253511213,,72.07020901858758,0,1,0.1454794253511213,0.0,6.581917701404485
000190,000190,1,0.10221,0.10221,0.10221,7.0,0.1405714427433207,,63.17505198873256,0,1,0.1405714427433207,0.0,6.562285770973283
PS16el,PS16el,1,0.0494,0.0494,0.0494,9.98418,-0.140380199885465,,71.90116653755484,0,1,0.140380199885465,0.0,6.56152079954186
2008dr,2008dr,1,0.04014,0.04014,0.04014,11.3888,0.1398616383874778,,63.19570583475025,0,1,0.1398616383874778,0.0,6.559446553549911
2006S,2006S,1,0.03393,0.03393,0.03393,10.2024,0.1396268173481996,,63.20254013007019,0,1,0.1396268173481996,0.0,6.558507269392798
SN2017cii,SN2017cii,1,0.03289,0.03289,0.03289,8.8988,0.1380930928160762,,63.247196247700494,0,1,0.1380930928160762,0.0,6.552372371264305
2005am,2005am,3,0.00863,0.00863,0.00863,11.3117,-0.3871756141987195,0.03026719896741906,80.56069126676145,0,0,0.3871756141987195,1.0,6.548702456794878
300105,300105,1,0.09205,0.09205,0.09205,9.04492,0.1344743559868089,,63.35268493468112,0,1,0.1344743559868089,0.0,6.537897423947236
SN2017mf,SN2017mf,1,0.02598,0.02598,0.02598,10.508,0.1343527813045053,,63.356231974064784,0,1,0.1343527813045053,0.0,6.537411125218021
2000bh,2000bh,1,0.02412,0.02412,0.02412,9.5093,-0.1342211866838542,,71.6975200142525,0,1,0.1342211866838542,0.0,6.536884746735417
18612,18612,1,0.11388,0.11388,0.11388,10.2452,-0.1319006470154366,,71.6209415272048,0,1,0.1319006470154366,0.0,6.527602588061747
