t,a,z,H,sigma,C_sigma_base,rho_m,rho_r,C_sigma,G_esc,G_leak,Sdot_struct,source_gated,throughput_raw,rho_DE_flux,Omega_DE_flux,w_flux
0.08826985514040596,0.17438874440736732,4.73431504079201,7.566668129815655,4.999931421533715,0.9913638931716799,56.56735891780005,0.09731251711806625,0.6131568103440651,0.3868431896559349,0.9985688551509863,0.3013122345621878,0.11639377081828459,0.00284667509406577,0.6308423714576155,0.01101032750294346,-1.0018655546507016
0.08843522739965805,0.17460689392160367,4.72715073007935,7.552630296498448,4.999931164664455,0.9913315455487137,56.355602144395284,0.09682710838960046,0.6128653890238186,0.3871346109761814,0.998583076871836,0.3024106505384983,0.11690774521786618,0.0028659658934626878,0.6308467990994446,0.011051341876840657,-1.0018772621905896
0.08860090702498763,0.1748253163273662,4.719995370278449,7.53861905957617,4.9999309068370295,0.9912990772637287,56.14463807073691,0.09634412094917229,0.6125745159906335,0.3874254840093665,0.9985971574656697,0.3035131543110651,0.117423772239173,0.002885377872470285,0.6308512545545283,0.011092507772777446,-1.001889039490057
0.08876689457547371,0.17504401196602476,4.71284895020628,7.524634369636816,4.9999306480479095,0.9912664878722386,55.934463729397855,0.09586354271905254,0.6122841909309946,0.3877158090690054,0.9986110983290125,0.30461976335395674,0.11794186052809263,0.0029049117548961075,0.6308557379889954,0.011133825742333655,-1.0019008869634263
0.0889331906111459,0.175262981179377,4.705711458693759,7.510676177361988,4.999930388293557,0.9912337769287506,55.725076164058756,0.09538536168175576,0.6119944135227455,0.38800558647725447,0.9986249008446485,0.3057304952217777,0.11846201877254889,0.0029245682688687183,0.6308602495699668,0.011175296339046563,-1.0019128050275583
0.08909979569298491,0.17548222430964827,4.698582884585755,7.496744433526756,4.9999301275704235,0.9912009439863178,55.51647242946689,0.09490956587974109,0.611705183434905,0.388294816565095,0.998638566381753,0.30684536754921865,0.11898425570246504,0.0029443481468643586,0.6308647894655609,0.011216920118417484,-1.0019247941018723
0.08926671038292314,0.17570174169949104,4.691463216741105,7.482839088999565,4.999929865874946,0.9911679885963156,55.308649591395884,0.09443614341511579,0.611416500327594,0.388583499672406,0.9986520962960258,0.3079643980505822,0.11950858008968429,0.0029642521257337256,0.6308693578449004,0.011258697637918216,-1.0019368546084308
0.08943393524384723,0.17592153369198735,4.684352444032534,7.468960094741931,4.999929603203553,0.9911349103090008,55.10160472660261,0.09396508244933348,0.6111283638523523,0.38887163614764775,0.998665491929823,0.309087604519295,0.12003500074776444,0.002984280946729126,0.6308739548781184,0.011300629456998142,-1.0019489869717877
0.0896014708395987,0.1761416006306484,4.67725055534667,7.455107401808324,4.999929339552661,0.9911017086731764,54.89533492278693,0.09349637120290007,0.6108407736520096,0.3891592263479904,0.9986787546122855,0.31021500482738124,0.12056352653189195,0.0030044353555314877,0.630878580736364,0.011342716137090777,-1.0019611916190552
0.0897693177349744,0.1763619428594142,4.670157539584056,7.441280961346062,4.999929074918677,0.991068383236191,54.68983727855159,0.09302999795508136,0.610553729360726,0.38944627063927395,0.9986918856594683,0.3113466169249072,0.12109416633873304,0.0030247161022774827,0.6308832355918095,0.01138495824162035,-1.001973468979988
0.0899374764957292,0.1765825607226559,4.663073385659074,7.427480724595012,4.9999288092979945,0.9910349335439396,54.485108903359716,0.09256595104360581,0.6102672306040289,0.3897327693959711,0.9987048863744684,0.31248245883941483,0.12162692910627951,0.0030451239415870226,0.6308879196176557,0.011427356336008936,-1.0019858194869944
0.09010594768857647,0.17680345456517552,4.655998082499951,7.413706642887476,4.999928542686997,0.9910013591410864,54.281146917494965,0.0921042188643749,0.6099812769989632,0.3900187230010368,0.9987177580475499,0.3136225486753148,0.12216182381364249,0.0030656596325906063,0.630892632988139,0.01146991098768309,-1.001998243575078
0.09027473188118866,0.17702462473220534,4.648931619048783,7.399958667648083,4.999928275082057,0.9909676595707303,54.07794845202196,0.09164478987117512,0.6096958681539655,0.3903041318460345,0.9987305019562707,0.3147669046132478,0.12269885948091878,0.003086323938956778,0.6308973758785376,0.011512622766080473,-1.0020107416817439
0.09044382964219995,0.17724607156941055,4.641873984261448,7.386236750393494,4.999928006479536,0.9909338343746275,53.87551064874413,0.09118765257538503,0.6094110036690116,0.3905889963309884,0.9987431193656043,0.3159155449094376,0.12323804516896703,0.003107117628919949,0.6309021484651768,0.011555492242657063,-1.0020233142473007
0.0906132415412067,0.17746779542288874,4.63482516710762,7.372540842732287,4.999927736875784,0.9908998830933039,53.673830660164384,0.09073279554569008,0.6091266831357126,0.3908733168642874,0.9987556115280642,0.3170684878949984,0.1237793899791806,0.0031280414753080614,0.6309069509254372,0.011598519990893858,-1.002035961714654
0.09078296814876803,0.17768979663916942,4.62778515657079,7.358870896364851,4.999927466267139,0.9908658052654963,53.472905649446005,0.09028020740779878,0.6088429061370763,0.39115709386292374,0.998767979683825,0.3182257519752125,0.12432290305335353,0.003149096255570361,0.6309117834377596,0.011641706586303542,-1.002048684529285
0.09095301003640871,0.17791207556521693,4.620753941648169,7.345226863083072,4.999927194649931,0.9908316004290462,53.27273279037063,0.08982987684415362,0.6085596722479902,0.39144032775200976,0.9987802250608413,0.31938735562879983,0.12486859357331309,0.003170282751805563,0.6309166461816519,0.011685052606437861,-1.0020614831394141
0.09112336777661847,0.17813463254842835,4.613731511350755,7.331608694770313,4.99992692202046,0.9907972681179925,53.073309267300814,0.0893817925936532,0.6082769810338106,0.39172301896618944,0.998792348874969,0.320553317407129,0.12541647076113227,0.0031916017507896987,0.6309215393376956,0.011728558630894054,-1.0020743579960556
0.0912940419428549,0.1783574679366363,4.606717854703244,7.318016343401118,4.999926648373828,0.9907628077154903,52.87463227513847,0.08893594345136618,0.6079948319768579,0.3920051680231421,0.998804352330082,0.32172365593342783,0.12596654390251597,0.003213054044006557,0.630926463087553,0.011772225241322237,-1.0020873095530192
0.09146503310954394,0.17858058207810845,4.599712960744047,7.30444976104109,4.999926373705623,0.9907282186660995,52.676699019286225,0.0884923182682531,0.6077132245826025,0.39228677541739754,0.9988162366181893,0.32289838990194414,0.12651882231273384,0.0032346404276770856,0.6309314176139732,0.011816053021432208,-1.0021003382667384
0.09163634185208046,0.17880397532154724,4.5927168185253,7.29090889984679,4.99992609801221,0.9906935005119121,52.47950671560902,0.08805090595088941,0.607432158397768,0.392567841602232,0.9988280029195513,0.32407753807707906,0.12707331533030464,0.003256361702785473,0.630936403100799,0.011860042557000242,-1.0021134445962616
0.09180796874683082,0.17902764801609228,4.585729417112785,7.27739371206544,4.999925821289937,0.9906586527930068,52.28305259039311,0.0876116954611841,0.6071516329605966,0.3928483670394034,0.998839652402794,0.32526111929250406,0.12763003233258136,0.003278218675106425,0.6309414197329726,0.011904194435876508,-1.0021266290031765
0.09197991437113348,0.17925160051131991,4.578750745585945,7.263904150034821,4.999925543535129,0.9906236750467778,52.08733388030808,0.08717467581610583,0.6068716478005534,0.39312835219944664,0.9988511862250228,0.3264491524502333,0.12818898273554918,0.0033002121552336153,0.630946467696542,0.011948509247991894,-1.0021398919518372
