proxy,Dsat,q_sat,phi0,best_model,best_BIC,BIC_mass_only,BIC_capacity_state,delta_BIC_capacity_minus_mass,mass_step_mu_high_minus_low,H0_overflow_minus_filling,score
hybrid,1.0,5.0,0.055,E_Gsat,-11496.702763084937,-11022.83723458096,-11481.078825083732,-458.24159050277194,-0.05989606081099475,3.803987505482567,0.02010393918900525
sigma_age,0.75,7.0,0.055,E_Gsat,-11495.734125248011,-11007.567893681091,-11481.58657874765,-474.01868506655956,-0.05977736203989501,3.8156332332106757,0.02022263796010499
hybrid,1.0,3.0,0.055,E_Gsat,-11496.805348851483,-11115.167487331275,-11481.164495417957,-365.9970080866824,-0.05974328263091416,3.4571348924511796,0.02025671736908584
sigma_age,1.3,3.0,0.07,E_Gsat,-11497.076039373625,-10835.345513890257,-11481.733487817151,-646.3879739268941,-0.0597093531461751,4.381403174674531,0.020290646853824902
hybrid,0.9,5.0,0.1,E_Gsat,-11496.56644752147,-10283.296327524113,-11480.923579206357,-1197.6272516822446,-0.10036655785437042,6.682244768519297,0.020366557854370415
hybrid,1.0,7.0,0.055,E_Gsat,-11496.375105748697,-10983.858009513799,-11480.854409522628,-496.99640000882937,-0.05949351966078781,3.9255968897232663,0.020506480339212194
sigma_age,1.3,5.0,0.07,E_Gsat,-11497.648313037116,-10679.188451740987,-11482.334294963812,-803.1458432228246,-0.059296625303499974,4.850385483707626,0.020703374696500028
sigma_age,0.75,5.0,0.055,E_Gsat,-11495.8380269055,-11049.126830267202,-11481.592764547693,-432.46593428049164,-0.05905147397066845,3.674811946508626,0.020948526029331553
sigma_age,1.3,7.0,0.07,E_Gsat,-11497.752946457906,-10616.138123981525,-11482.36216813132,-866.2240441497943,-0.05832209726919136,5.005458992246162,0.02167790273080864
hybrid,1.15,5.0,0.055,E_Gsat,-11496.995452933892,-11014.278563377951,-11481.362819338234,-467.08425596028246,-0.05789944963624326,3.839844474675587,0.022100550363756744
MR_age,1.3,5.0,0.1,E_Gsat,-11495.189016694936,-10392.145849791375,-11480.841068175718,-1088.6952183843423,-0.10216397054053032,6.6601257145987205,0.02216397054053032
hybrid,1.15,3.0,0.055,E_Gsat,-11496.804786339744,-11111.029248422576,-11481.256141413314,-370.22689299073863,-0.057705079705582626,3.4878812598803677,0.022294920294417375
hybrid,1.15,7.0,0.055,E_Gsat,-11496.88537716073,-10973.015407752166,-11481.241529933946,-508.22612218178074,-0.057587092348712454,3.9639011910876434,0.022412907651287547
