z_leak,m,n,rho_floor_frac,lambda0,Omega_DE_0,Omega_DE_1090,w0,w_z1,w_z2,w_z3,hump_abs_z1_3,hump_signed_z2,score,pass_basic
12.0,5.0,2.0,0.9,0.39003426523248,0.7000000000000001,1.2187283084634588e-09,-1.0234047811388687,-1.0294478298269518,-1.0219372557335618,-1.0079465072037286,0.02980238681588321,-0.021937255733561756,0.2340478113886879,True
9.0,7.0,2.0,0.9,0.3900457938436815,0.7000000000000001,1.2187283084634588e-09,-1.023405533853753,-1.0294509469561568,-1.0219476999884367,-1.00795578485503,0.029806668215059062,-0.02194769998843671,0.23405533853753213,True
10.0,6.0,2.0,0.9,0.39004779238236154,0.7000000000000001,1.2187283084634588e-09,-1.0234056428743425,-1.0294504090641272,-1.021943526645518,-1.0079504223986344,0.029805692732007172,-0.021943526645517908,0.23405642874342658,True
8.0,8.0,2.0,0.9,0.39013300966806513,0.7000000000000001,1.2187283084634588e-09,-1.023410769460852,-1.029458105192167,-1.0219545368503453,-1.0079586923141455,0.029814114761724797,-0.02195453685034532,0.23410769460852188,True
11.0,5.0,2.0,0.9,0.3901622616890682,0.7000000000000001,1.2187283084634588e-09,-1.023412431026353,-1.0294567643942312,-1.0219379430314497,-1.0079385403482266,0.029810797052694626,-0.02193794303144969,0.23412431026353153,True
9.0,6.0,2.0,0.9,0.39024171089806203,0.7000000000000001,1.2187283084634588e-09,-1.0234172696383892,-1.0294650372173362,-1.0219483839553307,-1.0079405538781143,0.029820032305034827,-0.02194838395533072,0.23417269638389304,True
8.0,7.0,2.0,0.9,0.3902887598979077,0.7000000000000001,1.2187283084634588e-09,-1.023420111627027,-1.0294699024974898,-1.0219573371805544,-1.0079470006454665,0.02982564716886782,-0.02195733718055437,0.23420111627027063,True
10.0,5.0,2.0,0.9,0.390366946555018,0.7000000000000001,1.2187283084634588e-09,-1.0234246625986065,-1.0294709833623419,-1.021938658958238,-1.007925268603351,0.029824148990409638,-0.02193865895823799,0.2342466259860665,True
7.0,8.0,2.0,0.9,0.3905186877367464,0.7000000000000001,1.2187283084634588e-09,-1.0234339130623646,-1.0294885798488165,-1.0219729504647936,-1.0079483805242515,0.029844915357633228,-0.02197295046479364,0.23433913062364753,True
12.0,4.0,2.0,0.9,0.39056359668057244,0.7000000000000001,1.2187283084634588e-09,-1.0234357867965658,-1.02947577827902,-1.0219209531864666,-1.007908761757683,0.02982530638450953,-0.021920953186466585,0.23435786796565883,True
8.0,6.0,2.0,0.9,0.39059991271548056,0.7000000000000001,1.2187283084634588e-09,-1.0234387444879522,-1.0294919103600522,-1.021956100281973,-1.0079199133918102,0.029846265166848296,-0.021956100281973034,0.23438744487952357,True
9.0,5.0,2.0,0.9,0.39070619853774863,0.7000000000000001,1.2187283084634588e-09,-1.0234449317551197,-1.0294943942424266,-1.0219389795563312,-1.0079021055636521,0.029846047289822764,-0.021938979556331173,0.23444931755119858,True
