case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
C,C: Full Flux ledger,-0.7590294247385985,0.46812055282054227,1.136201869314971,1.8950948440203639,0.8143043222062507,1.0123076069600567,0.4465028288241779,0.5742657356625812,0.8977553635477064,0.5250563820905095,0.4703098836755473,0.42222322059922046
C,C: Full Flux ledger,-0.7571826378170932,0.46898587051794305,1.1322604002879886,1.8908549277073954,0.8134417501989739,1.012311817017279,0.4472435176027902,0.5752183661027218,0.8972456495552221,0.5251118467668403,0.47109006519024516,0.42268351154063344
C,C: Full Flux ledger,-0.7553358508955883,0.46985278774929473,1.128326203597163,1.8866279906879424,0.8125758653844927,1.0123157949040729,0.4479850124854486,0.5761720333065808,0.8967337686040663,0.5251667817904453,0.4718710957895976,0.4231427460227362
C,C: Full Flux ledger,-0.753489063974083,0.47072130747132546,1.1243992658244308,1.8824159529437374,0.8117070557026775,1.0123195397933122,0.4487273116009146,0.577126734867481,0.8962196807058298,0.5252225910534933,0.4726529735025936,0.4236008969971555
C,C: Full Flux ledger,-0.7516422770525781,0.47159143264622805,1.1204795735764908,1.8782174808480676,0.8108350591331857,1.0123230535848144,0.4494704130387312,0.5780824683283046,0.89570339683206,0.525278376391571,0.47343569631691257,0.4240579613726102
C,C: Full Flux ledger,-0.7497954901310728,0.4724631662416718,1.1165671134847481,1.8740331810899122,0.8099600033791793,1.01232633654236,0.4502143148976091,0.579039231243725,0.8951849323041927,0.5253344300666642,0.47421926222989064,0.42451393815660887
C,C: Full Flux ledger,-0.747948703209568,0.4733365112308109,1.1126618722052788,1.8698630247176162,0.8090818888535772,1.0123293894884589,0.4509590152510172,0.579997021135951,0.8946642608670472,0.5253908690758025,0.475003669212276,0.4249688066249363
C,C: Full Flux ledger,-0.7461019162880627,0.47421147059229607,1.1087638364187762,1.865706323014559,0.8082005793133961,1.0123322138072932,0.4517045121475143,0.5809558354951532,0.8941413791837954,0.5254472705791409,0.47578891520857863,0.4254225568449604
C,C: Full Flux ledger,-0.7442551293665578,0.4750880473102834,1.1048729928305119,1.8615643338867591,0.8073163413217891,1.0123348092120394,0.45245080362274537,0.5819156717948938,0.8936163061055824,0.5255043272357451,0.4765749981497065,0.42587518942881547
C,C: Full Flux ledger,-0.7424083424450525,0.475966244374446,1.1009893281702827,1.8574350909545212,0.8064287709758096,1.012337178236799,0.45319788770377883,0.5828765274977037,0.89308899656199,0.5255610227266414,0.4773619159575331,0.42632667451942224
C,C: Full Flux ledger,-0.7405615555235472,0.47684606477998265,1.0971128291923753,1.8533211213083207,0.8055384047097364,1.0123393194534174,0.45394576236420436,0.583838399997333,0.892559470497614,0.5256188564980422,0.47814966649760215,0.4267770131477105
C,C: Full Flux ledger,-0.7387147686020423,0.4777275115276287,1.0932434826755135,1.8492191985042157,0.8046445672433491,1.0123412365754618,0.4546944255999646,0.5848012867162807,0.8920277296288678,0.5256757568270131,0.47893824765900217,0.4272261976916881
C,C: Full Flux ledger,-0.736867981680537,0.4786105876236671,1.0893812754228138,1.845133101287162,0.803748068605969,1.0123429270014772,0.4554438753595584,0.5857651850160265,0.8914937469435904,0.5257342786552255,0.4797276572808481,0.42767420670177386
C,C: Full Flux ledger,-0.7350211947590322,0.47949529607993696,1.085526194261746,1.8410583606050224,0.8028479584201902,1.0123443956540656,0.456194109589314,0.5867300922552581,0.8909575426532189,0.5257914453027349,0.48051789319996857,0.4281210413263459
C,C: Full Flux ledger,-0.7331744078375269,0.4803816399138456,1.08167822604408,1.8369999894695843,0.8019453240364163,1.012345638726542,0.45694512620874994,0.5876960057581825,0.890419097340007,0.525850581774959,0.4813089532249531,0.4285666836722264
C,C: Full Flux ledger,-0.731327620916022,0.4812696221483772,1.0778373576458486,1.832952293534708,0.8010389362584563,1.012346662380127,0.45769692312839216,0.5886629228374407,0.8898784072324711,0.525908026614082,0.48210083515491914,0.4290111233131036
C,C: Full Flux ledger,-0.7294808339945167,0.4821592458121048,1.0740035759672963,1.8289215028327697,0.8001301634850332,1.0123474615710195,0.45844949819496333,0.5896308407236138,0.8893354076754645,0.5259681393612149,0.4828935367217788,0.42945432034431
