case,model,k,Gamma0,A_mu,G_void_k,G_collapse_k,D_today,sigma8_today,S8,f_sigma8_z0p5,f_sigma8_z1p0,gamma_z0,gamma_z0p5,Gamma_topo_z0,Gamma_topo_z1,mu_eff_z0,mu_eff_z1,delta_S8_vs_LCDM_percent
B_flux_topology_linear,flux,0.1,0.17,0.0,0.8797113999598205,0.0066928509242848554,0.7480855875814064,0.7788341469463368,0.7788341469463368,0.4370486023582495,0.40423732275197144,0.5839656580513753,0.6374589604536003,0.026153565739015158,0.11959838181533541,1.0,1.0,-3.966196430784619
C_flux_topology_halo,flux,10.0,0.17,0.25,0.00033191490682538127,0.9933071490757153,0.8532638492136138,0.8883355503090967,0.8883355503090967,0.5512570517865499,0.48528260032065496,0.46135636247953254,0.36912547433622905,9.867734277188156e-06,4.512444167316294e-05,1.2394579734378957,1.1915663549218725,9.53582617868023
B_flux_topology_linear,flux,0.1,0.18,0.0,0.8797113999598205,0.0066928509242848554,0.7461817276398642,0.7768520326560853,0.7768520326560853,0.4350271771769729,0.4025719803545557,0.5857028603315916,0.642641843800222,0.027692010782486638,0.12663358074564926,1.0,1.0,-4.210600165710824
C_flux_topology_halo,flux,10.0,0.18,0.25,0.00033191490682538127,0.9933071490757153,0.8532629597066572,0.8883346242407387,0.8883346242407387,0.5512560792587214,0.4852818531142646,0.46135697723343194,0.36912734472961284,1.0448189234669812e-05,4.777882059511369e-05,1.2394579734378957,1.1915663549218725,9.535711990226716
B_flux_topology_linear,flux,0.1,0.19,0.0,0.8797113999598205,0.0066928509242848554,0.7442876275063147,0.7748800793311813,0.7748800793311813,0.43301784887547146,0.4009150067941734,0.5874389624436706,0.6478216408908768,0.029230455825958117,0.13366877967596313,1.0,1.0,-4.45375100725262
C_flux_topology_halo,flux,10.0,0.19,0.25,0.00033191490682538127,0.9933071490757153,0.8532620905151531,0.8883337193228592,0.8883337193228592,0.5512551242509253,0.48528109825662474,0.4613576162024989,0.36912918522769067,1.1028644192151469e-05,5.043319951706447e-05,1.2394579734378957,1.1915663549218725,9.535600409723692
B_flux_topology_linear,flux,0.1,0.2,0.0,0.8797113999598205,0.0066928509242848554,0.742403123674889,0.7729181167451746,0.7729181167451746,0.4310204480395794,0.3992662839377811,0.589174149870946,0.6529985209898244,0.030768900869429596,0.14070397860627698,1.0,1.0,-4.6956699451079436
C_flux_topology_halo,flux,10.0,0.2,0.25,0.00033191490682538127,0.9933071490757153,0.8532612154206646,0.888332808259365,0.888332808259365,0.5512541667613506,0.48528034337108167,0.46135850449404137,0.36913102443501916,1.1609099149633125e-05,5.3087578439015214e-05,1.2394579734378957,1.1915663549218725,9.53548807143834
B_flux_topology_linear,flux,0.1,0.21,0.0,0.8797113999598205,0.0066928509242848554,0.7405281894692164,0.7709661171252157,0.7709661171252157,0.4290348823029507,0.3976258087242597,0.5909075808892542,0.6581726421355425,0.032307345912901075,0.14773917753659083,1.0,1.0,-4.936360403795854
C_flux_topology_halo,flux,10.0,0.21,0.25,0.00033191490682538127,0.9933071490757153,0.853260355884474,0.8883319133936611,0.8883319133936611,0.5512532374930017,0.4852796042733164,0.4613587685035438,0.3691327691444074,1.218955410711478e-05,5.5741957360965975e-05,1.2394579734378957,1.1915663549218725,9.535377730414437
B_flux_topology_linear,flux,0.1,0.22,0.0,0.8797113999598205,0.0066928509242848554,0.7386627895627436,0.7690240436927244,0.7690240436927244,0.42706110911556255,0.39599352057992443,0.592639732522426,0.6633438381354017,0.03384579095637256,0.15477437646690467,1.0,1.0,-5.175826918283068
C_flux_topology_halo,flux,10.0,0.22,0.25,0.00033191490682538127,0.9933071490757153,0.8532594892931051,0.8883310111827903,0.8883310111827903,0.5512522995007139,0.4852788532889154,0.461359712379757,0.36913455246726046,1.2770009064596438e-05,5.839633628291674e-05,1.2394579734378957,1.1915663549218725,9.535266483697939
B_flux_topology_linear,flux,0.1,0.23,0.0,0.8797113999598205,0.0066928509242848554,0.7368068551636278,0.7670918248283067,0.7670918248283067,0.4250990557339954,0.39436939979873536,0.5943707201160076,0.6685120264321199,0.03538423599984404,0.1618095753972185,1.0,1.0,-5.41407831956761
C_flux_topology_halo,flux,10.0,0.23,0.25,0.00033191490682538127,0.9933071490757153,0.8532586167909781,0.8883301028182113,0.8883301028182113,0.5512513206312009,0.4852781461181385,0.4613599126845869,0.36913649540081817,1.3350464022078094e-05,6.105071520486749e-05,1.2394579734378957,1.1915663549218725,9.535154478201145
