w0_offset,hump_amp,w0,w_z2,H0_eff_z0p1,H0_eff_z0p3,H0_eff_z0p5,H0_eff_z1p0,H0_eff_z1p5,H0_mean_lowz,H0_mean_z0p1_to_1p5,delta_H0_lowz,omega_de_1090,target_distance,cmb_safe,w_reasonable,not_too_extreme_z2,score
-0.01,-0.005,-1.0104232899431127,-1.0050193038836381,67.36666566908025,67.31944505258713,67.29268084021517,67.27374990456576,67.27806534706336,67.32626385396084,67.30612136270233,-0.07373614603916678,1.7480494803816197e-09,5.673736146039161,True,True,True,5.673736146039161
-0.005,-0.05,-1.0092328994311264,-1.050009644901967,67.3694056292915,67.32021963264802,67.28487778086149,67.23601824050142,67.21598225237234,67.32483434760034,67.28530070713495,-0.07516565239966155,1.5794914236106039e-09,5.675165652399656,True,True,True,5.675165652399656
-0.01,-0.01,-1.0108465798862254,-1.010019303142601,67.36520057247733,67.31529398332246,67.28622662895982,67.26315592657272,67.26511083919053,67.32224039491986,67.29899759010456,-0.07775960508014634,1.7269884025144702e-09,5.677759605080141,True,True,True,5.677759605080141
-0.005,-0.055,-1.009656189374239,-1.0550096441609298,67.36794040916926,67.31606855038434,67.27842716260933,67.22547141643611,67.20317105242805,67.32081204072098,67.27821571820542,-0.07918795927902522,1.5604611889164277e-09,5.6791879592790195,True,True,True,5.6791879592790195
-0.01,-0.015,-1.0112698698293379,-1.0150193024015641,67.36373554246126,67.31114362357815,67.27977465215831,67.25257244684529,67.2521801911897,67.31821793939923,67.29188129124654,-0.08178206060077287,1.7061810754736824e-09,5.681782060600767,True,True,True,5.681782060600767
-0.005,-0.06,-1.0100794793173518,-1.060009643419893,67.36647525563475,67.3119181776949,67.27197877851252,67.21493504801764,67.19038338856055,67.31679073728073,67.27113812968408,-0.08320926271927931,1.5416602367789896e-09,5.683209262719274,True,True,True,5.683209262719274
-0.01,-0.02,-1.0116931597724506,-1.020019301660527,67.36227057903197,67.30699397332592,67.27332490946331,67.24199945629597,67.23927335261241,67.31419648727375,67.28477245414592,-0.08580351272625819,1.6856244419854534e-09,5.6858035127262525,True,True,True,5.6858035127262525
-0.005,-0.065,-1.0105027692604645,-1.0650096426788558,67.36501016868793,67.30776851455161,67.26553262822272,67.20440912612462,67.17761921063756,67.31277043715409,67.26406792964488,-0.08722956284591987,1.5230858047262878e-09,5.687229562845914,True,True,True,5.687229562845914
-0.01,-0.025,-1.0121164497155632,-1.02501930091949,67.36080568218942,67.30284503253772,67.266877400527,67.23143694583138,67.22639027305995,67.31017603841805,67.2776710668291,-0.08982396158195627,1.6653154816110218e-09,5.689823961581951,True,True,True,5.689823961581951
-0.005,-0.07,-1.010926059203577,-1.0700096419378187,67.36354514832873,67.30361956092636,67.25908871139082,67.19389364163024,67.16487846857994,67.30875114021529,67.25700510617122,-0.09124885978471298,1.504735163569483e-09,5.691248859784707,True,True,True,5.691248859784707
-0.01,-0.03,-1.012539739658676,-1.0300193001784528,67.35934085193354,67.29869680118537,67.26043212500137,67.22088490635406,67.21353090218543,67.30615659270677,67.27057711733195,-0.09384340729323526,1.6452512103028727e-09,5.69384340729323,True,True,True,5.69384340729323
-0.005,-0.075,-1.0113493491466896,-1.0750096411967818,67.36208019455711,67.29947131679086,67.25264702766725,67.18338858540336,67.15216111236302,67.30473284633841,67.24994964735632,-0.09526715366159522,1.4866056170019155e-09,5.6952671536615895,True,True,True,5.6952671536615895
