A,p0,p_high,zt,w,theta_star,theta_err_ppm,theta_abs_err_ppm,r_s_Mpc,D_M_Mpc,cmb_soft_pass,cmb_strict_pass,sn_shape_max,sn_shape_end,sn_shape_rms,sn_offset,sn_good_pass,sn_excellent_pass,score
1.2,0.195,0.24,1.3,0.45,0.010427930221709417,1414.5720536835404,1414.5720536835404,143.74939745460756,13785.03637810526,True,False,0.13944878109496509,0.13944878109496509,0.10554187670310892,-0.16852535802238103,False,False,10.336815873627955
1.2,0.2,0.23,1.3,0.8,0.010427952988772141,1416.7584193275948,1416.7584193275948,143.7493974542541,13785.006281580883,True,False,0.1397007090112273,0.1397007090112273,0.10630544969353233,-0.16842338299490697,False,False,10.418225167916027
1.2,0.195,0.24,1.5,0.8,0.010428151258777194,1435.7986764102307,1435.7986764102307,143.74939745460756,13784.744187865148,True,False,0.1394186007682426,0.1394186007682426,0.10586363874243893,-0.16847619724584226,False,False,10.457720250854198
1.2,0.2,0.24,1.5,0.35,0.010428241596872041,1444.4740206700858,1444.4740206700858,143.74939745460756,13784.62477295552,True,False,0.1392368193553608,0.1392368193553608,0.10544750073379076,-0.16848380597274115,False,False,10.45652372018149
1.2,0.2,0.23,1.3,0.6,0.010428243772773094,1444.6829767117526,1444.6829767117526,143.7493974542541,13784.621896696231,True,False,0.13953884230038227,0.13953884230038227,0.10605230480778698,-0.1684485185340563,False,False,10.51705305432174
1.2,0.2,0.24,1.7,0.6,0.010428281258906479,1448.2828435523866,1448.2828435523866,143.74939745460756,13784.572345690769,True,False,0.13929477923174952,0.13929477923174952,0.10576201257591554,-0.16846051043038793,False,False,10.501924865840722
1.2,0.195,0.24,1.3,0.35,0.010428382526871135,1458.0078046264357,1458.0078046264357,143.74939745460756,13784.438486429131,True,False,0.1392149382786935,0.1392149382786935,0.10519509479805635,-0.1685435789229809,False,False,10.49602490174724
1.2,0.19,0.24,1.3,0.8,0.010428422300097578,1461.827305494875,1461.827305494875,143.74939745460756,13784.38591360675,True,False,0.13930026951634508,0.13930026951634508,0.10565993457577595,-0.1685126519998382,False,False,10.555032517134299
1.2,0.2,0.24,1.9,0.8,0.010428487819893341,1468.119299863798,1468.119299863798,143.74939745460756,13784.299309473401,True,False,0.13927022850326173,0.13927022850326173,0.10587379179493382,-0.16844445185641396,False,False,10.60109588071326
1.2,0.2,0.23,1.3,0.45,0.010428579578389602,1476.9310480546774,1476.9310480546774,143.7493974542541,13784.178024794064,True,False,0.13936073294037263,0.13936073294037263,0.10577993870849654,-0.1684691966788113,False,False,10.636220375443175
1.2,0.2,0.23,1.5,0.8,0.010428735204444607,1491.8761230560851,1491.8761230560851,143.7493974542541,13783.972326096628,True,False,0.1393384681480896,0.1393384681480896,0.10599423626972519,-0.16843642295167172,False,False,10.723079567272887
1.2,0.2,0.24,1.5,0.25,0.010428760492264672,1494.3045619668308,1494.3045619668308,143.74939745460756,13783.9389025408,True,False,0.13896000052641946,0.13896000052641946,0.10511641482328146,-0.16849018939073326,False,False,10.649750759367327
1.2,0.195,0.24,1.5,0.6,0.010428798950843724,1497.9978146703497,1497.9978146703497,143.74939745460756,13783.888071116546,True,False,0.1390625515202165,0.1390625515202165,0.1054055698523268,-0.1685112394049971,False,False,10.69421900582182
1.2,0.2,0.23,1.3,0.35,0.010428878724422604,1505.6586277614094,1505.6586277614094,143.7493974542541,13783.782634044659,True,False,0.13920570410925373,0.13920570410925373,0.10554885209460849,-0.16848134389054317,False,False,10.746246726039203
1.2,0.19,0.24,1.3,0.6,0.010428911908368105,1508.8453470697075,1508.8453470697075,143.74939745460756,13783.738775208541,True,False,0.1390293505341257,0.1390293505341257,0.10523794700369425,-0.16855454488750135,False,False,10.730136041461753
1.2,0.195,0.24,1.3,0.25,0.010428917126072338,1509.3464134308854,1509.3464134308854,143.74939745460756,13783.731879049403,True,False,0.13894108029851773,0.13894108029851773,0.10480208400365196,-0.1685553795390954,False,False,10.69342590989388
