z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
16.396066011001835,58425434.70289445,0.0014729666933893419,49030.31684212639,16343.438947375464,6.256268429055328e+30,1.462492740532255e+42,5.84997096212902e+42,47.4129779129855,1.3086875777257839e+29,9.478785540175554e+51
16.392732122020337,58493710.89270495,0.0014737855661950577,49103.75229807326,16367.917432691087,6.265638793234149e+30,1.4646831979499747e+42,5.858732791799899e+42,47.40389139856643,1.3109009820053792e+29,9.494817162112739e+51
16.38939823303884,58562019.800684765,0.001474605051275434,49177.26379330084,16392.42126443361,6.275018860025186e+30,1.46687592349287e+42,5.86750369397148e+42,47.394804884147355,1.3131172715950744e+29,9.510869682265908e+51
16.386064344057342,58630361.448785104,0.0014754251492056676,49250.85142113666,16416.95047371222,6.284408641337037e+30,1.469070919944747e+42,5.876283679778988e+42,47.38571836972828,1.3153364506568574e+29,9.526943130780215e+51
16.382730455075848,58698735.85897604,0.0014762458605616033,49324.51527504064,16441.505091680214,6.293808149095185e+30,1.4712681900933595e+42,5.885072760373438e+42,47.37663185530922,1.3175585233594595e+29,9.543037537849659e+51
16.37939656609435,58767143.05324681,0.0014770671859197387,49398.255448605625,16466.085149535207,6.303217395242077e+30,1.4734677367304254e+42,5.893870946921702e+42,47.367545340890146,1.31978349387838e+29,9.559152933717258e+51
16.376062677112852,58835583.05360543,0.0014778891258572227,49472.07203555709,16490.69067851903,6.312636391737085e+30,1.4756695626516205e+42,5.902678250606482e+42,47.35845882647107,1.3220113663958809e+29,9.575289348675013e+51
16.372728788131354,58904055.88207896,0.0014787116809518584,49545.965129753684,16515.321709917895,6.32206515055657e+30,1.4778736706565912e+42,5.911494682626365e+42,47.349372312052004,1.3242421451010106e+29,9.591446813064078e+51
16.36939489914986,58972561.56071341,0.0014795348517821021,49619.93482518731,16539.978275062436,6.3315036836939e+30,1.48008006354896e+42,5.92032025419584e+42,47.34028579763294,1.3264758341896123e+29,9.607625357274819e+51
16.366061010168362,59041100.111574054,0.0014803586389270647,49693.981215983615,16564.66040532787,6.34095200315951e+30,1.4822887441363383e+42,5.929154976545353e+42,47.33119928321387,1.3287124378643433e+29,9.623825011746962e+51
