V_ref,n,Point_MAE,Galaxy_MAE
95.0,1.25,19.789625110090853,18.989488065201186
95.0,1.5,19.787221584376955,18.984491123686965
95.0,1.75,19.791393406278225,18.98402987403255
95.0,2.0,19.799815846355617,18.987074961872153
95.0,2.25,19.81016078506716,18.99207385709651
95.0,2.5,19.82155034938793,18.998756110790037
95.0,2.75,19.833769276866445,19.006574878100324
95.0,3.0,19.84702159121037,19.015559467131624
95.0,3.25,19.860341344137247,19.024961711288313
95.0,3.5,19.8732666829036,19.03437017036546
95.0,3.75,19.88594584649064,19.043860456020973
95.0,4.0,19.898195000646545,19.05324478209722
95.0,4.25,19.910442405037067,19.06282584369642
95.0,4.5,19.922527344609584,19.072459988601544
95.0,4.75,19.934157929303765,19.081894588978894
95.0,5.0,19.945427780106776,19.09123014436566
95.0,5.25,19.956243727071584,19.100296991134975
95.0,5.5,19.966638543469546,19.109123311739626
95.0,5.75,19.976626509099276,19.11769831807707
95.0,6.0,19.986218877240265,19.12600394667295
100.0,1.0,19.816737779305246,19.01529227526544
100.0,1.25,19.802147493774036,19.005227740473696
100.0,1.5,19.801094178565286,19.0023758127645
100.0,1.75,19.807624734820635,19.00477404008996
100.0,2.0,19.81786327713513,19.01009607432951
100.0,2.25,19.83031549002358,19.017389436452344
100.0,2.5,19.844508119322214,19.02644597376241
100.0,2.75,19.860017771197914,19.03718689139867
100.0,3.0,19.875891278256965,19.04862025306187
100.0,3.25,19.891745765843563,19.060365645921898
100.0,3.5,19.907336285777646,19.072175232609897
100.0,3.75,19.922557124840143,19.08392297870666
100.0,4.0,19.937690997226312,19.095799589273593
100.0,4.25,19.95254739255146,19.107644682983583
100.0,4.5,19.966863370538665,19.119253772004928
100.0,4.75,19.980552118029532,19.13049445398655
100.0,5.0,19.993624887618104,19.141340922848432
100.0,5.25,20.006139442833618,19.151843542437742
100.0,5.5,20.018217610395006,19.16215628694414
100.0,5.75,20.029777661162615,19.172104671068517
100.0,6.0,20.040833944715448,19.18168261470181
105.0,1.0,19.827952196850205,19.028527491509536
105.0,1.25,19.814443918505386,19.02057671717227
105.0,1.5,19.81520734782862,19.0202729868673
105.0,1.75,19.82361822721976,19.025095607223268
105.0,2.0,19.835842754264853,19.032879663426158
105.0,2.25,19.851131217726397,19.0431824349188
105.0,2.5,19.868072624409862,19.05491617646815
