p,H0,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,H0_distance_to_73,score
0.19,72.95,0.01041202691952624,-1.1730804737597467e-06,1.1730804737597467e-06,-112.65321647137736,143.51333566786255,13783.419575944834,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6676873052738888,0.7710697226204412,True,0.04999999999999716,0.1652812100293862
0.19,73.05,0.010414628392779218,1.428392779218371e-06,1.428392779218371e-06,137.17135743271723,143.51333566783745,13779.976611296055,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6688628970977764,0.773109345544899,True,0.04999999999999716,0.17107548771352676
0.1975,73.05,0.01041123957842406,-1.9604215759395915e-06,1.9604215759395915e-06,-188.26312525828678,143.51333566811897,13784.461935304198,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6716768971669609,0.7731867284362577,True,0.04999999999999716,0.1741410550231743
0.1825,72.95,0.01041543636703936,2.236367039361656e-06,2.236367039361656e-06,214.76270880821036,143.5133356675698,13778.907633839655,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6648760859894178,0.7709592743156736,True,0.04999999999999716,0.17082727895845692
0.1925,72.95,0.010410897178874688,-2.302821125311008e-06,2.302821125311008e-06,-221.14442489446168,143.51333566795734,13784.915286567997,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6686243672998629,0.7711006818754904,True,0.04999999999999716,0.17163551030386412
0.1875,73.05,0.010415764714858774,2.5647148587746443e-06,2.5647148587746443e-06,246.29459328301047,143.51333566774093,13778.473265914861,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6679248859963174,0.7730777472609528,True,0.04999999999999716,0.178261597333924
0.2,73.05,0.01041011663438482,-3.0833656151797034e-06,3.0833656151797034e-06,-296.1016416836039,143.51333566821015,13785.948871522034,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.672614886112143,0.7732067943135688,True,0.04999999999999716,0.18325019238265952
0.18,72.95,0.010416579648972602,3.3796489726026224e-06,3.3796489726026224e-06,324.55431304523324,143.51333566746936,13777.395316285441,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6639390018255966,0.7709165244946115,True,0.04999999999999716,0.18100201389821355
0.195,72.95,0.010409770780667736,-3.4292193322633946e-06,3.4292193322633946e-06,-329.3146518134094,143.51333566805081,13786.40689520016,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6695614237911531,0.7711287507354464,True,0.04999999999999716,0.1820306746856039
0.185,73.05,0.010416904424162892,3.7044241628925167e-06,3.7044241628925167e-06,355.74311094500416,143.513335667643,13776.9657687126,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6669868693557337,0.7730432087907378,True,0.04999999999999716,0.18961292019069803
0.2025,73.05,0.010408996992743383,-4.203007256616681e-06,4.203007256616681e-06,-403.62302237704847,143.51333566830002,13787.431754313133,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6735528695179784,0.7732240333581395,True,0.04999999999999716,0.19634350327519387
0.1775,72.95,0.010417726359718339,4.526359718339673e-06,4.526359718339673e-06,434.67519286479404,143.51333566736747,13775.878796575302,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6630019121270916,0.7708707689665117,True,0.04999999999999716,0.19540221044880562
0.1975,72.95,0.010408647707997765,-4.552292002234573e-06,4.552292002234573e-06,-437.16552089987454,143.513335668143,13787.894421469435,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6704984747484257,0.7711539517741323,True,0.04999999999999716,0.19643085425535825
0.1825,73.05,0.010418047538022,4.847538022000747e-06,4.847538022000747e-06,465.5185746937298,143.51333566754363,13775.454099606795,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6660488471760253,0.7730057069715763,True,0.04999999999999716,0.20516673634195887
0.20500000000000002,73.05,0.010407880636892042,-5.319363107957054e-06,5.319363107957054e-06,-510.8288622092204,143.5133356683886,13788.910602960561,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6744908473849112,0.7732384677536882,True,0.04999999999999716,0.2133858238676416
0.2,72.95,0.010407527944076629,-5.67205592337007e-06,5.67205592337007e-06,-544.6986443523673,143.51333566823376,13789.37788487163,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6714355201710145,0.7711763074036391,True,0.04999999999999716,0.21480054757635056
0.175,72.95,0.010418876516923746,5.676516923746461e-06,5.676516923746461e-06,545.1270429595572,143.5133356672642,13774.358054263379,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6620648168941248,0.7708219841750075,True,0.04999999999999716,0.21406588756375283
0.18,73.05,0.010419194073890758,5.9940738907585805e-06,5.9940738907585805e-06,575.6226607343161,143.51333566744285,13773.938238377757,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6651108194571922,0.772965218475071,True,0.04999999999999716,0.22496069279973907
0.20750000000000002,73.05,0.010406767550339866,-6.432449660132705e-06,6.432449660132705e-06,-617.7207448366214,143.51333566847595,13790.385436618026,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6754288197129412,0.773250119523718,True,0.04999999999999716,0.2343423292658547
0.2025,72.95,0.010406411472234653,-6.788527765345942e-06,6.788527765345942e-06,-651.9156229925424,143.51333566832338,13790.857304771325,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6723725600593635,0.7711958398760808,True,0.04999999999999716,0.23710459678043175
0.1725,72.95,0.010420030138363125,6.830138363125848e-06,6.830138363125848e-06,655.9115702306543,143.51333566715934,13772.83306876344,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6611277161264741,0.7707701463974043,True,0.04999999999999716,0.23703144055834724
0.1775,73.05,0.01042034404934914,7.144049349139953e-06,7.144049349139953e-06,686.057057306107,143.51333566734056,13772.418164667459,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6641727861987903,0.7729217198060729,True,0.04999999999999716,0.24903280774288344
0.21000000000000002,73.05,0.010405657716711689,-7.5422832883104834e-06,7.5422832883104834e-06,-724.3002427986098,143.51333566856206,13791.856274310932,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6763667865020686,0.7732590105322383,True,0.04999999999999716,0.2591785297150774
0.20500000000000002,72.95,0.010405298275919532,-7.901724080466854e-06,7.901724080466854e-06,-758.8180463706502,143.5133356684116,13792.332700402969,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6733095944134728,0.771212571283762,True,0.04999999999999716,0.2633081837025484
0.16999999999999998,72.95,0.010421187241939054,7.987241939054826e-06,7.987241939054826e-06,767.0304938976325,143.51333566705298,13771.303819347715,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6601906098241397,0.7707152317438581,True,0.04999999999999716,0.26433764545432625
0.175,73.05,0.01042149748210359,8.297482103590548e-06,8.297482103590548e-06,796.8234647937761,143.51333566723687,13770.893857978323,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6632347474014857,0.7728752190626713,True,0.04999999999999716,0.2774215488738757
0.21250000000000002,73.05,0.01040455111974709,-8.648880252908747e-06,8.648880252908747e-06,-830.5689176150221,143.51333566864693,13793.323134937455,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6773047477520713,0.7732651624839916,True,0.04999999999999716,0.28786026684799065
0.20750000000000002,72.95,0.01040418833869536,-9.011661304639262e-06,9.011661304639262e-06,-865.4074928589928,143.51333566849863,13793.804090871981,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6742466232333424,0.7712265235597956,True,0.04999999999999716,0.2933768260637868
