H0,theta_star,r_s_Mpc,D_M_Mpc,model,flux_power
62.11711711711712,0.010187905905238236,143.51332656912936,14086.636439716256,lcdm,
62.16216216216216,0.010189290805786518,143.51332656910088,14084.721822602158,lcdm,
62.207207207207205,0.010190675305410513,143.51332656907238,14082.80827992598,lcdm,
62.252252252252255,0.010192059404422294,143.51332656904384,14080.8958105929,lcdm,
62.2972972972973,0.01019344310313353,143.51332656901528,14078.984413509736,lcdm,
62.34234234234234,0.010194826401855452,143.5133265689867,14077.074087584992,lcdm,
62.387387387387385,0.010196209300898875,143.51332656895812,14075.164831728818,lcdm,
62.432432432432435,0.0101975918005742,143.51332656892953,14073.25664485302,lcdm,
62.47747747747748,0.010198973901191389,143.51332656890088,14071.34952587107,lcdm,
62.52252252252252,0.010200355603060004,143.51332656887217,14069.443473698077,lcdm,
62.567567567567565,0.010201736906489173,143.51332656884352,14067.538487250817,lcdm,
62.612612612612615,0.010203117811787612,143.51332656881482,14065.634565447688,lcdm,
62.65765765765766,0.010204498319263624,143.5133265687861,14063.731707208739,lcdm,
62.7027027027027,0.01020587842922508,143.51332656875738,14061.829911455663,lcdm,
62.747747747747745,0.010207258141979456,143.51332656872864,14059.929177111771,lcdm,
62.792792792792795,0.010208637457833798,143.51332656869985,14058.02950310201,lcdm,
62.83783783783784,0.010210016377094752,143.51332656867106,14056.130888352955,lcdm,
62.88288288288288,0.010211394900068527,143.5133265686422,14054.233331792811,lcdm,
62.927927927927925,0.01021277302706096,143.5133265686134,14052.336832351377,lcdm,
62.972972972972975,0.010214150758377435,143.51332656858452,14050.4413889601,lcdm,
63.01801801801802,0.010215528094322954,143.51332656855564,14048.547000552022,lcdm,
63.06306306306306,0.010216905035202095,143.51332656852676,14046.653666061799,lcdm,
63.108108108108105,0.010218281581319044,143.5133265684978,14044.761384425672,lcdm,
63.153153153153156,0.010219657732977554,143.51332656846887,14042.870154581533,lcdm,
63.1981981981982,0.010221033490480997,143.5133265684399,14040.979975468825,lcdm,
