Galaxy,N_points,T,A_T,D_spatial,D_total_v3p_T,f_gas,R_disk,M_bar,v3o_MAE,v3o_bias,v3p_T_MAE,v3p_T_bias,MAE_delta,MAE_improvement_pct
NGC5033,22,5,0.0,0.8195808162733863,0.8195808162733864,0.0265113031244134,5.16,56759262000.0,52.26385456279259,-45.142045327801014,52.26385456279259,-45.142045327801014,0.0,0.0
NGC5055,28,4,0.1,0.907497188455279,0.8527962622632957,0.0199823824719053,3.2,78020026000.0,24.978468374667823,-14.000425046683358,17.320417916181892,0.6270127231525028,-7.658050458485931,30.65860701952576
NGC5371,19,4,0.1,0.8445383984383777,0.7936324196794694,0.0086609401582354,7.44,171683440000.0,15.949407153675365,-15.949407153675365,10.113388715469808,-1.4674820396002461,-5.836018438205556,36.59081733869155
NGC5585,24,7,-0.2,0.751766022015195,0.8513001163981566,0.1320320006795101,1.53,1695339000.0,16.95274975952243,-13.25687218726006,20.605561917713917,-20.030918462377304,3.6528121581914874,-21.547018684326936
NGC5907,19,5,0.0,0.8460995625420639,0.8460995625420638,0.0308956060362069,5.34,90508825000.0,54.439256765006455,-54.439256765006455,54.439256765006455,-54.439256765006455,0.0,0.0
NGC5985,33,3,0.2,0.8202971665682701,0.7243879401667371,0.0145501997272308,7.01,105904938000.0,110.22140392305901,-110.22140392305901,81.99662460323039,-81.99662460323039,-28.224779319828627,25.607348768240307
NGC6015,44,6,-0.1,0.846300468580391,0.9005847349597903,0.0460749736556483,2.3,16840421999.999998,41.424305064327626,-40.92643234847942,48.93779387663495,-48.69437200042833,7.5134888123073225,-18.137875338257714
NGC6195,23,3,0.2,0.7726802914412542,0.6823384348213288,0.0140210276058228,13.94,198318631000.0,12.363481564344347,-4.019374295687097,16.295146990635246,14.788882309455973,3.9316654262908983,-31.800633226401384
NGC6503,31,6,-0.1,0.793650293217885,0.8445574184394937,0.0348566643804779,2.16,6654452000.0,33.475633767822565,-33.475633767822565,40.477100409059965,-40.477100409059965,7.0014666412374,-20.915113033550234
NGC6674,15,3,0.2,0.8436096953818946,0.7449747657899776,0.0383311420475141,6.04,111604945000.0,79.80307211389861,-79.80307211389861,38.338237794254056,-38.338237794254056,-41.46483431964455,51.95894496450467
NGC6789,4,11,-0.6,0.7347323189089722,1.0669133361049004,0.0432636191423815,0.31,52261000.0,18.41560307321457,-18.41560307321457,22.92405043772566,-22.92405043772566,4.508447364511092,-24.481671040513532
NGC6946,58,6,-0.1,0.8864729334755737,0.9433339830028603,0.0222841727734813,2.44,33840610000.0,21.992604546480983,-17.67584788897942,27.868319087968022,-24.81048477240806,5.875714541487039,-26.716774400543688
NGC7331,36,3,0.2,0.8778620875224767,0.7752223648305804,0.011609283511594,5.02,126787411000.0,33.85951663820642,-18.655124552994284,19.76865499127241,12.763123766239383,-14.090861646934012,41.61566096024583
NGC7793,46,7,-0.2,0.8297181688928666,0.9395731558374234,0.031463824967791,1.21,3639513000.0,14.307597746316164,-11.091739697345933,19.397715402300882,-17.801347336948247,5.090117655984718,-35.57632627248898
NGC7814,18,2,0.3,0.8878824192794408,0.7368099071016062,0.0038043874898714,2.54,37406810000.0,50.78755531946237,-46.10479986516688,17.73195107267167,-6.569323373555438,-33.0556042467907,65.08603148717303
PGC51017,6,11,-0.6,0.7126053480278655,1.0347825046264196,0.2564734776894073,0.53,104233000.0,6.401247056722132,4.969202399881169,2.1724079403288923,-2.1724079403288923,-4.228839116393239,66.06273869639845
UGC00128,22,8,-0.3,0.6775940778310483,0.8165252167694983,0.1412228329558381,5.95,6998323000.0,50.4711621509719,-50.201525672866346,64.72813658319521,-64.72813658319521,14.25697443222331,-28.247763325871365
UGC00191,9,9,-0.4,0.7265682987407187,0.9317007498635801,0.1512926693539575,1.58,1180619000.0,18.170497405345866,-18.170497405345866,27.837711004736313,-27.837711004736313,9.667213599390447,-53.2028011327103
UGC00634,4,9,-0.4,0.7059742952816079,0.9052924294086385,0.2458415313479125,2.45,1981679000.0,38.79534552961386,-38.79534552961386,50.950600433779385,-50.950600433779385,12.155254904165524,-31.331735130151085
UGC00731,12,10,-0.5,0.6276822083855171,0.8565245566997719,0.598089744195943,2.3,401831000.0,29.446269817039944,-29.446269817039944,36.2273333305972,-36.2273333305972,6.781063513557253,-23.028599397106635
UGC00891,5,9,-0.4,0.6507578177855904,0.8344866516489573,0.2333677702891064,1.43,243924000.0,18.557934058174173,-18.557934058174173,24.23998498854943,-24.23998498854943,5.682050930375258,-30.61790667303561
UGC01230,11,9,-0.4,0.6899283446616628,0.8847162162008945,0.1833130054724459,4.34,4665190000.0,34.781465907213274,-32.70693452400795,46.67613566850416,-46.67613566850416,11.894669761290885,-34.19829915456228
UGC01281,25,8,-0.3,0.6310082009077059,0.7603875607631335,0.1813619539707424,1.63,215602000.0,14.246958803067717,-12.031209133787037,16.800671678399556,-15.79175055986645,2.55371287533184,-17.92461753158129
UGC02023,5,10,-0.5,0.700329823477823,0.9556582671681355,0.0884267835264502,1.55,717441000.0,7.786690917252803,-2.0167884854234908,10.802502681724459,-10.802502681724459,3.015811764471656,-38.730338683272855
UGC02259,8,8,-0.3,0.7098748585374535,0.8554247177039769,0.0707841612062891,1.62,928202000.0,36.46003151614331,-36.46003151614331,44.30223313550713,-44.30223313550713,7.84220161936382,-21.509036863809484
UGC02455,8,10,-0.5,0.8144400606837829,1.1113711725715505,0.0552990500176306,0.99,1931299000.0,24.050587031293635,24.050587031293635,16.26483394958244,14.957071996267663,-7.785753081711196,32.372403515892124
UGC02487,17,0,0.5,0.8614454050320128,0.6312883267672389,0.0096580508557706,7.89,247366579000.0,127.98350409691118,-127.98350409691118,25.34338107746137,14.382537432922796,-102.6401230194498,80.19793155665518
UGC02885,19,5,0.0,0.8007209043595224,0.8007209043595224,0.0257371736949881,11.4,207092475000.0,74.76795731073597,-74.76795731073597,74.76795731073597,-74.76795731073597,0.0,0.0
UGC02916,43,2,0.3,0.8057448920929905,0.6686480171241936,0.0474946000041214,6.15,65171809000.0,25.559032988487182,-10.7696907971866,20.204647766611334,16.88787909251288,-5.354385221875848,20.94909155713238
UGC02953,115,2,0.3,0.9302070225314172,0.7719330115950022,0.0078083242189293,3.55,130780173999.99998,51.994141959964985,-49.287458748387586,16.91322969063209,2.4477769612311437,-35.0809122693329,67.4708937332688
UGC03205,48,2,0.3,0.8867989841303133,0.7359108176115506,0.0221491032540573,3.19,58108041000.0,49.16062951572104,-48.062329978943836,9.773080212739563,-2.981538510091917,-39.387549302981476,80.12010767759953
UGC03546,30,1,0.4,0.8537531731397888,0.6657824313691844,0.0069727298695559,3.79,51023775000.0,36.378775327947594,-0.16125041630218107,45.02929922045025,45.02929922045025,8.650523892502655,-23.779040977932496
UGC03580,47,1,0.4,0.7838823684018121,0.611295073988019,0.0805646079057859,2.43,7214210000.0,23.944008593970736,-0.03236724473303764,25.67325544582229,25.43750812355425,1.7292468518515527,-7.222044066117605
UGC04278,25,7,-0.2,0.6676069726291513,0.7559983783038414,0.1850889356650472,2.21,801928000.0,22.307483492088167,-21.268567564755518,26.133965161459965,-25.70228297003804,3.8264816693717982,-17.153354257681926
UGC04305,22,10,-0.5,0.707917697603552,0.9660125522426649,0.1995997998999499,1.16,459770000.0,6.673650737817217,5.468431330364783,4.0426972730730055,-2.8281321748912025,-2.630953464744212,39.42300201350859
UGC04325,8,9,-0.4,0.7040155436153659,0.902780662243188,0.0817405051243049,1.86,1103174000.0,35.670602273722835,-35.670602273722835,43.581487398784546,-43.581487398784546,7.910885125061711,-22.177604584179832
UGC04483,8,10,-0.5,0.7062870772507555,0.9637874352070599,0.3956861286723688,0.18,10756000.0,4.615566531248186,-3.7536338665854805,7.247122272959485,-7.247122272959485,2.631555741711299,-57.01479382639618
UGC04499,9,8,-0.3,0.7020938966095236,0.8460483789301567,0.1586251761899599,1.73,922300000.0,17.70420409355529,-16.59812536997734,23.814585089092517,-23.814585089092517,6.110380995537227,-34.51372884794938
UGC05005,11,10,-0.5,0.6882764960302993,0.9392104997934603,0.1671301621170982,3.2,2461369000.0,21.840340217757475,-18.698580092619743,32.802856339624434,-32.802856339624434,10.962516121866958,-50.19388898051044
UGC05253,73,2,0.3,0.7902062458454971,0.6557532596095762,0.024788298887319,8.07,87971668000.0,23.636724721100826,-22.785470358950253,13.316893234121098,0.9942722019121706,-10.319831486979728,43.66015854035426
UGC05414,6,10,-0.5,0.6996793764371864,0.9547706781052386,0.1196879477989847,1.47,637842000.0,9.914211293984064,-8.750617935961186,16.929960638208325,-16.929960638208325,7.015749344224261,-70.76457356200804
UGC05716,12,9,-0.4,0.7073345790940961,0.9070367629424841,0.3310610645685344,1.14,439502000.0,26.54634495846319,-26.54634495846319,35.851830647889564,-35.851830647889564,9.305485689426373,-35.053736037810765
UGC05721,23,7,-0.2,0.8261727460521043,0.9355583177247205,0.219682229916002,0.38,340246000.0,32.21231372011014,-31.99707588033251,37.51447071231415,-37.51447071231415,5.3021569922040115,-16.460031521715486
UGC05750,11,8,-0.3,0.663337886489083,0.7993459938296127,0.0805697601157997,3.46,1814167000.0,14.963271848102654,-9.318852745711713,20.064951100173392,-17.99120077592352,5.101679252070738,-34.09467731295434
UGC05764,10,10,-0.5,0.6039131624487422,0.8240897174416413,0.3377896196575203,1.17,64179000.0,25.275472422089404,-25.275472422089404,28.297256464698318,-28.297256464698318,3.021784042608914,-11.95540084136286
UGC05829,11,10,-0.5,0.6444293495106781,0.8793774230652414,0.325454062704068,1.99,418059000.0,15.51865408341256,-15.200227791503279,22.31458561429004,-22.31458561429004,6.795931530877478,-43.79201633304948
UGC05918,8,10,-0.5,0.6130920631829622,0.8366150905959816,0.2532099153210556,1.66,156001000.0,14.965216831757818,-14.965216831757818,19.991436483668085,-19.991436483668085,5.026219651910267,-33.58601287516318
UGC05986,15,9,-0.4,0.7694771055856052,0.9867240251460582,0.1312669513964675,1.67,2702211000.0,37.45533645029463,-36.57342366847173,48.47928892005052,-48.47928892005052,11.02395246975589,-29.432261233016302
UGC05999,5,10,-0.5,0.6752004987282895,0.9213672143810554,0.1371423500937822,3.22,1960926000.0,29.121199849910635,-29.121199849910635,40.42594758979647,-40.42594758979647,11.304747739885837,-38.8196495959988
UGC06399,9,9,-0.4,0.6995516460577461,0.8970564698872087,0.0724296686764024,2.05,1237642000.0,25.46560774820245,-24.914085591452093,34.2881154182883,-34.2881154182883,8.822507670085848,-34.64479527573264
UGC06446,17,7,-0.2,0.7015376262832133,0.7944214628265212,0.270748604605503,1.49,677407000.0,31.834374463489347,-31.834374463489347,37.30762587356124,-37.30762587356124,5.473251410071896,-17.19289762187454
