M_BH,phi_total,phi_sink,delta_flux,sigma_env_pred,sigma_bulge_sim,M_star,M_gas,R_disk_90,arm_contrast,v_flat,sink_saturation,morphology_index
699708887.4920257,3.3428571428571425,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,746905696799.4087,0.25,0.0,9.833017660341206,0.4777497045719945,0.0
699708887.4920257,3.9214285714285713,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,751123002845.3445,0.25,0.0,9.833017660341206,0.5604371534402244,0.0
699708887.4920257,4.5,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,744069982033.5441,0.25,0.0,9.833017660341206,0.6431246023084543,0.0
1448836313.2100458,0.45,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,752393955308.5802,0.25,0.0,14.149392217696052,0.031059409258108583,0.0
1448836313.2100458,1.0285714285714285,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,753744635672.7672,0.25,0.0,14.149392217696052,0.07099293544710532,0.0
1448836313.2100458,1.607142857142857,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,751949195897.7067,0.25,0.0,14.149392217696052,0.11092646163610206,0.0
1448836313.2100458,2.1857142857142855,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,752828023368.9652,0.25,0.0,14.149392217696052,0.1508599878250988,0.0
1448836313.2100458,2.7642857142857142,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,751119958475.6993,0.25,0.0,14.149392217696052,0.19079351401409556,0.0
1448836313.2100458,3.3428571428571425,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,752745679022.0721,0.25,0.0,14.149392217696052,0.2307270402030923,0.0
1448836313.2100458,3.9214285714285713,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,752137954825.805,0.25,0.0,14.149392217696052,0.270660566392089,0.0
1448836313.2100458,4.5,14.488363132100458,0.0,348.1265252033711,315.40366287842176,0.0,749360750207.4785,0.25,0.0,14.149392217696052,0.3105940925810858,0.0
3000000000.000001,0.45,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,758714675087.7559,0.25,0.0,20.36051465031646,0.014999999999999994,0.0
3000000000.000001,1.0285714285714285,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,758533354611.0718,0.25,0.0,20.36051465031646,0.034285714285714274,0.0
3000000000.000001,1.607142857142857,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,759603798651.809,0.25,0.0,20.36051465031646,0.05357142857142855,0.0
3000000000.000001,2.1857142857142855,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,757138023549.4517,0.25,0.0,20.36051465031646,0.07285714285714283,0.0
3000000000.000001,2.7642857142857142,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,757333390760.2388,0.25,0.0,20.36051465031646,0.09214285714285711,0.0
3000000000.000001,3.3428571428571425,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,760359358613.1006,0.25,0.0,20.36051465031646,0.11142857142857138,0.0
3000000000.000001,3.9214285714285713,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,759758022979.0753,0.25,0.0,20.36051465031646,0.13071428571428567,0.0
3000000000.000001,4.5,30.00000000000001,0.0,411.5325830245321,372.9417788774942,0.0,759855529975.181,0.25,0.0,20.36051465031646,0.14999999999999994,0.0
