p,H0,omega_m_h2,omega_b_h2,omega_c_h2,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_c0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,accepted_omega_window,H0_distance_to_73,score
0.24199999999999997,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010412543002377506,-6.569976224932161e-07,6.569976224932161e-07,-63.09276903288289,143.0197481273574,13735.333250936063,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.681676180518286,0.7620505027048735,True,True,0.0,0.2646969866862255
0.19,73.0,0.14300000000000002,0.02237,0.12063000000000001,0.010412498168236467,-7.01831763531835e-07,7.01831763531835e-07,-67.39827944645594,143.51334541650598,13782.796702360658,0.2683430287108276,0.041977857008819675,0.22636517170200793,7.843873146931883e-05,0.7315785325577031,-0.6682757049129009,0.772091716562046,True,True,0.0,0.3221929901285
0.266,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.010413905075109793,7.050751097935348e-07,7.050751097935348e-07,67.70974434309673,142.7751835703378,13710.052332970063,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.6875563106391027,0.7568716040971118,True,True,0.0,0.23804234520310974
0.29399999999999993,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.01041396009815994,7.600981599409362e-07,7.600981599409362e-07,72.9937156629025,142.53208715195038,13686.636573260406,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6948740170903402,0.7515464164854735,True,True,0.0,0.21265975577030063
0.16199999999999998,73.0,0.14200000000000002,0.02237,0.11963000000000001,0.010413988766192638,7.887661926386791e-07,7.887661926386791e-07,75.74676301604494,143.76241066088764,13804.740324628494,0.2664665040345281,0.041977857008819675,0.22448864702570845,7.843873146931883e-05,0.7334550572340026,-0.6607474628549372,0.776839176112898,True,True,0.0,0.352712075876785
0.118,73.0,0.14,0.02237,0.11763000000000001,0.010412406703695932,-7.932963040670205e-07,7.932963040670205e-07,-76.18179849297243,144.2651575844178,13855.121269246065,0.26271345468192914,0.041977857008819675,0.22073559767310946,7.843873146931883e-05,0.7372081065866015,-0.650062792106775,0.7861610579177818,True,True,0.0,0.4173108109891011
0.29799999999999993,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.010412391521194784,-8.084788052156733e-07,8.084788052156733e-07,-77.63980382741842,142.53208715203053,13688.698399584911,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6963582954150329,0.7514657118912861,True,True,0.0,0.2126210782428007
0.138,73.0,0.14100000000000001,0.02237,0.11863000000000001,0.01041401768554668,8.176855466803662e-07,8.176855466803662e-07,78.52394525029446,144.01300907921694,13828.76555693664,0.26458997935822864,0.041977857008819675,0.22261212234940894,7.843873146931883e-05,0.735331581910302,-0.6546725553105972,0.7814946569639908,True,True,0.0,0.38433898500385527
0.21599999999999997,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.010412337748693165,-8.622513068337612e-07,8.622513068337612e-07,-82.80368252158426,143.26579670004,13759.234492563502,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.6750012747825931,0.7671384818255315,True,True,0.0,0.29329001271098476
0.21199999999999997,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.01041408662166428,8.866216642811064e-07,8.866216642811064e-07,85.14401569941099,143.2657966999079,13756.923857525253,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.6735051525582616,0.7671221226048416,True,True,0.0,0.29332157972727096
0.26999999999999996,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.010412278529033167,-9.21470966832455e-07,9.21470966832455e-07,-88.49066250839849,142.77518357043283,13712.194038252474,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.689044538828453,0.7568207470026121,True,True,0.0,0.2385001868296417
0.238,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010414230914862174,1.0309148621746866e-06,1.0309148621746866e-06,99.00077422643248,143.0197481272447,13733.107062485129,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.680184002004868,0.7620679769840603,True,True,0.0,0.26574448576510123
