Galaxy,MAE_v3o,MAE_v3q,T,f_gas,R_rem,D_spatial,Imp_v3q
UGC06399,25.465607748202448,18.76164138157215,9,0.0724296686764024,0.09275703313235976,0.6995516460577461,6.703966366630297
UGC06446,31.834374463489354,20.60595813944093,7,0.270748604605503,0.2187754186183491,0.7015376262832133,11.228416324048425
UGC06614,28.76337648236101,33.54108178071826,1,0.0447269666041156,0.859745730056296,0.8301577590350013,-4.777705298357247
UGC06628,7.972505686081073,16.925487679311633,9,0.0964233929434509,0.09035766070565492,0.6926499056619663,-8.95298199323056
UGC06667,40.05298110792145,30.826239615307152,6,0.1334789733741721,0.34660841065033116,0.5833304203447282,9.226741492614295
UGC06786,56.50001088202969,20.326514139600672,0,0.0179006001473276,0.9820993998526724,0.8396311842944411,36.17349674242902
UGC06787,52.0810023869473,26.162239517737973,2,0.0134343461321658,0.7892525230942674,0.8058851612105332,25.918762869209324
UGC06818,15.157016238620905,13.289433301810798,9,0.1530729903883384,0.08469270096116616,0.7280620446213584,1.8675829368101073
UGC06917,30.83832431399645,20.354788122022104,9,0.0730134849944057,0.09269865150055943,0.727885218411591,10.483536191974345
UGC06923,14.451321569848353,14.451321569848353,10,0.0693013061341739,0.0,0.75377112745652,0.0
UGC06930,29.667356915673896,12.88872984409391,7,0.0879238545081293,0.2736228436475612,0.703403316582728,16.778627071579983
UGC06973,32.79564379089729,36.24112987647329,2,0.0085817035234899,0.7931346371812081,0.9938393703980436,-3.4454860855760003
UGC06983,39.64016725117324,21.632625960508065,6,0.1296522453099295,0.34813910187602826,0.6997181253040939,18.007541290665174
UGC07089,11.703089330857047,7.166071749221554,8,0.0826331320670514,0.18347337358658974,0.7143461958470536,4.537017581635493
UGC07125,7.7894017939085,2.974367302896814,9,0.3122536019196036,0.06877463980803965,0.670274403199609,4.815034491011685
UGC07151,15.585617217440758,4.3908882698475225,6,0.0669385780862926,0.373224568765483,0.7564977924332339,11.194728947593235
UGC07232,7.615666580325007,7.615666580325007,10,0.097703535724552,0.0,0.753433720012896,0.0
UGC07261,20.70437325502787,9.394765401492055,8,0.1739735219167961,0.16520529561664077,0.7528083616090524,11.309607853535816
UGC07323,11.278270401878384,8.570385055457242,8,0.0446523315691137,0.19106953368617727,0.7198450507377786,2.7078853464211416
UGC07399,48.315950013331694,39.450104010315705,8,0.1463405628539991,0.1707318874292002,0.6908268953203481,8.865846003015989
UGC07524,22.208361548757928,15.7411698815771,9,0.1626604299305585,0.08373395700694415,0.6517188395444317,6.467191667180828
UGC07559,4.50840764364975,4.50840764364975,10,0.291996310586279,0.0,0.6855721975225247,0.0
UGC07577,2.273593034332251,2.273593034332251,10,0.2064051918735891,0.0,0.5899574529979135,0.0
UGC07603,21.09624227484157,13.187250467979977,7,0.1543492537581978,0.2536952238725406,0.7571222397708968,7.908991806861591
UGC07608,24.705166156971174,24.705166156971174,10,0.3502498092589403,0.0,0.6364208470715701,0.0
UGC07690,13.452524077745457,13.452524077745457,10,0.1078669910786699,0.0,0.7960036062083107,0.0
UGC07866,4.800427309221386,4.800427309221386,10,0.2019975802507272,0.0,0.6805672125079175,0.0
UGC08286,31.608886343824096,17.74081613706607,6,0.1197751113081194,0.35208995547675226,0.7449791471588763,13.868070206758027
UGC08490,31.70357638611278,23.373778008330945,9,0.1584748287161155,0.08415251712838845,0.7899848029027868,8.329798377781835
UGC08550,19.24259341701871,9.963867314779067,7,0.2095358963698824,0.23713923108903529,0.7651342639987914,9.278726102239643
UGC08699,38.10052111236865,10.325767152310895,2,0.0193836172381061,0.7844931062095152,0.8348797546450627,27.77475396005775
UGC08837,7.081022846147909,7.081022846147909,10,0.1452262335357947,0.0,0.6411575631379354,0.0
UGC09037,18.265494856829648,27.85612240036037,6,0.0688673391492551,0.37245306434029796,0.8157770607575817,-9.590627543530722
