PGC,NGC,UGC,IC,ra,dec,Dist,logMstar,logSFR,GammaStar,PGC_NAME
2157,,,,9.02745914,-32.6031685,59.9239311,9.99117279,0.0492512323,0.29954657,PGC2157
2163,,,,9.04395866,4.63522243,72.4102173,9.53297615,0.269971728,0.1999999879999999,PGC2163
2164,,,,9.046875,-32.5745544,63.4745903,10.4113636,-0.985829234,0.5,PGC2164
2169,,,,9.07649994,32.9032211,72.4102173,9.99122143,0.0204846952,0.3065749999999999,PGC2169
2182,,,,9.12050152,-10.106122,84.41122439999998,10.6354504,0.437289417,0.363929212,PGC2182
2192,,,,9.16106033,-22.5935249,54.600956,10.2064962,-0.0378935001999999,0.3759655359999999,PGC2192
2195,,,,9.19087505,1.88641667,61.6879349,10.1972752,-1.36155188,0.5,PGC2195
2201,,,,9.21780014,23.9848003,66.4660492,10.7203617,0.0732361673999999,0.485388517,PGC2201
2202,,,,9.21504116,23.9909172,67.639473,11.0962763,0.240796208,0.5,PGC2202
2206,,,,9.2455616,-29.4778614,49.2946815,10.2460823,0.924280941,0.1999999879999999,PGC2206
2207,,,,9.25562763,3.43235993,60.5062561,8.980584139999998,-1.12918866,0.341258585,PGC2207
2215,,,,9.27572918,-46.6440849,47.8600006,9.6505146,0.0478624329,0.2214882669999999,PGC2215
2216,,,,9.281698230000002,28.8314457,27.0,8.49197578,-1.66580844,0.2868131099999999,PGC2216
2222,,,,9.29420376,13.0525761,65.8566589,9.35303974,-0.3996756369999999,0.2548875509999999,PGC2222
2223,,,,9.30195904,1.94225001,62.8926926,10.6836386,0.341560364,0.401782542,PGC2223
2225,,,,9.30058384,35.9026947,66.4660492,9.55237007,-0.109942541,0.234537676,PGC2225
2228,,,,9.30665779,-22.5869961,46.3400002,9.88424206,-0.279300362,0.3549950419999999,PGC2228
2232,,,,9.3397131,-19.9342709,54.600956,10.7766209,0.257115662,0.449896932,PGC2232
2241,,,,9.39310741,-22.5492592,53.4318123,10.4525805,-0.4703231749999999,0.5,PGC2241
2246,,,,9.4161253,10.3579721,66.4660492,10.1840191,-0.102480486,0.387032121,PGC2246
2261,,,,9.47539234,32.6892128,71.8124466,9.44982624,-0.573821604,0.319626868,PGC2261
2265,,,,9.47983646,-28.9229145,48.7079811,9.72661591,-0.4207218289999999,0.350837141,PGC2265
2268,,,,9.49037552,8.63522243,76.59494019999998,10.9913998,0.5720629099999999,0.422547966,PGC2268
2274,,,,9.51014137,-46.5176125,45.7508812,9.55100346,-0.207126364,0.2561275359999999,PGC2274
2286,,,,9.5921669,32.6382484,70.0165176,9.99065208,0.0044393953899999,0.310373157,PGC2286
2291,,,,9.605416300000002,3.1664443,67.0501556,10.7701063,-1.35067606,0.5,PGC2291
2295,,,,9.61590195,1.978585,64.0619431,9.78318787,-0.31487596,0.3382903039999999,PGC2295
2305,,,,9.63529301,-24.3399563,54.600956,9.58938026,-0.251101524,0.27527082,PGC2305
2308,,,,9.64141655,-24.2734451,51.6416168,10.1713915,0.328939289,0.2757351989999999,PGC2308
2327,,,,9.73975086,25.6386395,68.2338104,10.2923489,-0.0347340553999999,0.3977871239999999,PGC2327
2338,,,,9.76487541,-18.608305,55.1823044,10.4457235,-1.41662705,0.5,PGC2338
2349,,,,9.7848568,-14.1729164,19.0,8.99705219,-0.400392741,0.1999999879999999,PGC2349
2352,,,,9.80586529,0.864120424,59.9239311,10.8244953,0.553114891,0.3830477299999999,PGC2352
2356,,,,9.81485271,-43.0754166,55.1823044,10.1599798,0.187327132,0.307044297,PGC2356
2357,,,,9.82434368,0.912781179,61.1223526,10.6653624,-1.15604937,0.5,PGC2357
2359,,,,9.82737446,3.3313334,63.4745903,11.0870094,-0.514150143,0.5,PGC2359
2365,,,,9.82831955,0.8919572829999999,59.3198471,10.0100365,-0.591824114,0.4727209809999999,PGC2365
2369,,,,9.83736229,-18.9174652,55.1823044,9.94686699,-0.3591247499999999,0.39218691,PGC2369
2374,,,,9.85548306,25.2538414,68.8335266,9.59192181,-0.2208706139999999,0.2687759399999999,PGC2374
2377,,,,9.873554230000002,25.6433506,68.2338104,,,,PGC2377
2378,,,,9.87470818,36.3469429,65.8566589,10.5039473,-0.3110002279999999,0.5,PGC2378
2380,,,,9.87674522,-14.6563091,55.7699013,10.3212852,0.0131590449999999,0.3927525579999999,PGC2380
2382,,,,9.88825989,3.1385777,66.4660492,10.5373392,-0.50981164,0.5,PGC2382
2384,,,,9.887146,3.93328285,68.8335266,9.2796669,-0.569325328,0.277278632,PGC2384
2386,,,,9.89316654,-20.3835564,56.3638191,9.25644493,-0.689351618,0.300488472,PGC2386
2388,,,,9.89517117,0.85992372,62.8926926,10.5375452,0.1776062999999999,0.406556666,PGC2388
2390,,,,9.9068985,8.96518898,64.6844788,10.488102,-1.10152602,0.5,PGC2390
2391,,,,9.899092670000002,-9.19448757,70.0165176,10.4428043,0.364001721,0.3334262069999999,PGC2391
